epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.8059,0.39215,1.15259,0.90016,0.91812,0.86581,0.97023,0.78448,0.59409,1.95744,1.14919,0.000547373,0.000547373,0.000547373
2,45.3784,0.35704,0.52047,0.86987,0.98154,0.98613,0.99005,0.84648,0.531,1.06512,1.22956,0.0010812,0.0010812,0.0010812
3,67.1168,0.37225,0.48732,0.87463,0.9596,0.98159,0.99176,0.84633,0.50226,0.82665,1.16513,0.00159302,0.00159302,0.00159302
4,88.8586,0.35193,0.43726,0.87051,0.98846,0.96795,0.99479,0.85728,0.52221,0.8259,1.23744,0.00156798,0.00156798,0.00156798
5,110.551,0.34215,0.39342,0.86971,0.9785,0.99869,0.99418,0.83031,0.59332,0.71448,1.26625,0.00153497,0.00153497,0.00153497
6,132.083,0.32907,0.36674,0.8647,0.98908,0.97455,0.99114,0.8452,0.52223,0.62223,1.15985,0.00150197,0.00150197,0.00150197
7,153.693,0.3184,0.33867,0.86087,0.9786,0.98823,0.99054,0.90291,0.40177,0.55037,1.02525,0.00146896,0.00146896,0.00146896
8,175.173,0.31254,0.32552,0.85765,0.97192,0.99379,0.99333,0.88739,0.44945,0.47106,1.06172,0.00143595,0.00143595,0.00143595
9,196.625,0.31834,0.31972,0.86267,0.98931,0.98935,0.9933,0.90133,0.41138,0.44769,1.06362,0.00140295,0.00140295,0.00140295
10,218.254,0.31126,0.30271,0.86623,0.97417,0.99899,0.98394,0.90071,0.39058,0.40724,1.02603,0.00136994,0.00136994,0.00136994
11,239.804,0.30236,0.27946,0.85949,0.98032,0.96918,0.99181,0.89298,0.4211,0.4525,1.05188,0.00133693,0.00133693,0.00133693
12,261.323,0.29867,0.27376,0.85762,0.99553,0.99934,0.99494,0.90909,0.39426,0.35246,1.03798,0.00130393,0.00130393,0.00130393
13,282.81,0.29855,0.26875,0.85724,0.99666,0.99983,0.99475,0.91835,0.39232,0.32941,1.00036,0.00127092,0.00127092,0.00127092
14,304.348,0.28316,0.24959,0.84733,0.98683,1,0.99385,0.91277,0.39076,0.31576,1.00176,0.00123791,0.00123791,0.00123791
15,325.934,0.29805,0.24927,0.85451,0.99083,0.99803,0.99461,0.91981,0.37715,0.31458,0.98765,0.00120491,0.00120491,0.00120491
16,347.395,0.2837,0.23773,0.84743,0.99777,0.99737,0.99497,0.91786,0.37453,0.27828,1.00356,0.0011719,0.0011719,0.0011719
17,368.589,0.28555,0.24136,0.85533,0.97453,0.99286,0.99121,0.91989,0.36932,0.32068,0.9827,0.00113889,0.00113889,0.00113889
18,389.997,0.28347,0.23867,0.84861,0.99599,0.99904,0.99484,0.91895,0.38263,0.27334,0.98853,0.00110589,0.00110589,0.00110589
19,411.334,0.27389,0.22437,0.84788,0.99187,0.99751,0.99485,0.91415,0.36717,0.27338,0.99447,0.00107288,0.00107288,0.00107288
20,432.572,0.2732,0.22599,0.84706,0.99663,0.99934,0.99489,0.92727,0.37294,0.27893,0.9795,0.00103987,0.00103987,0.00103987
21,453.882,0.27894,0.22831,0.85629,0.99016,1,0.99452,0.92862,0.3517,0.27664,0.96263,0.00100687,0.00100687,0.00100687
22,475.328,0.2763,0.22633,0.85345,0.99219,0.99869,0.99493,0.91471,0.38885,0.27821,0.99998,0.000973861,0.000973861,0.000973861
23,496.612,0.27077,0.21336,0.8509,0.99685,0.99919,0.99475,0.92935,0.35081,0.24379,0.96968,0.000940855,0.000940855,0.000940855
24,518.252,0.27548,0.22482,0.85238,0.99754,0.99651,0.99454,0.92153,0.37014,0.26791,0.98907,0.000907848,0.000907848,0.000907848
25,539.771,0.26696,0.21014,0.84401,0.99764,0.99552,0.99485,0.93136,0.34906,0.25027,0.97281,0.000874842,0.000874842,0.000874842
26,561.27,0.26504,0.21231,0.84761,0.99667,0.99934,0.99488,0.92249,0.3555,0.23055,0.97838,0.000841835,0.000841835,0.000841835
27,582.506,0.26201,0.20476,0.84118,0.99636,0.99869,0.99446,0.92701,0.34283,0.23274,0.96342,0.000808828,0.000808828,0.000808828
28,603.984,0.262,0.20094,0.8439,0.99267,0.99803,0.99467,0.93694,0.32609,0.22728,0.9387,0.000775822,0.000775822,0.000775822
29,625.506,0.25847,0.19812,0.84294,0.99418,1,0.99453,0.94438,0.3138,0.21378,0.92766,0.000742815,0.000742815,0.000742815
30,647.224,0.25221,0.19632,0.84183,0.99182,0.99813,0.99485,0.93558,0.34284,0.23281,0.95681,0.000709809,0.000709809,0.000709809
31,668.683,0.25669,0.19832,0.84583,0.99639,0.9987,0.99493,0.91904,0.35331,0.24428,0.97109,0.000676802,0.000676802,0.000676802
32,690.119,0.2548,0.19504,0.84219,0.99698,0.99869,0.99476,0.94373,0.32408,0.2156,0.93801,0.000643795,0.000643795,0.000643795
33,711.798,0.24864,0.19178,0.84085,0.99177,0.99873,0.99457,0.93763,0.33313,0.22332,0.94491,0.000610789,0.000610789,0.000610789
34,733.184,0.24258,0.18556,0.83764,0.99745,0.99833,0.99487,0.94325,0.328,0.2236,0.94429,0.000577782,0.000577782,0.000577782
35,754.628,0.24722,0.18346,0.83929,0.99679,0.9988,0.99481,0.93415,0.33486,0.21073,0.93929,0.000544776,0.000544776,0.000544776
36,776.046,0.24213,0.18225,0.8354,0.99275,0.99856,0.99496,0.93469,0.32715,0.21797,0.95205,0.000511769,0.000511769,0.000511769
37,797.385,0.2437,0.18473,0.83579,0.99589,0.99934,0.99495,0.94199,0.33207,0.21915,0.95129,0.000478762,0.000478762,0.000478762
38,818.676,0.24054,0.17851,0.8345,0.99636,0.99739,0.99487,0.94508,0.32674,0.21134,0.93699,0.000445756,0.000445756,0.000445756
39,840.14,0.24055,0.17544,0.83882,0.99655,0.99855,0.99446,0.945,0.30905,0.20134,0.92329,0.000412749,0.000412749,0.000412749
40,861.152,0.24113,0.17774,0.83711,0.99569,0.99934,0.99498,0.94777,0.3089,0.19224,0.92959,0.000379743,0.000379743,0.000379743
41,910.277,0.19437,0.15298,0.80525,0.97654,0.99881,0.98651,0.93885,0.31931,0.22782,0.94293,0.000346736,0.000346736,0.000346736
42,931.796,0.19522,0.14923,0.79946,0.99628,0.9999,0.99461,0.95245,0.30823,0.20197,0.92363,0.000313729,0.000313729,0.000313729
43,952.903,0.19255,0.15211,0.80096,0.99635,0.99963,0.99378,0.95931,0.29975,0.194,0.91244,0.000280723,0.000280723,0.000280723
44,974.465,0.18874,0.1416,0.80015,0.99744,0.99934,0.99445,0.95507,0.301,0.18468,0.92867,0.000247716,0.000247716,0.000247716
45,999.346,0.18863,0.14363,0.80439,0.99661,0.99934,0.99383,0.95371,0.29616,0.183,0.91569,0.00021471,0.00021471,0.00021471
46,1024.59,0.18458,0.13923,0.7975,0.99674,0.99777,0.99486,0.95565,0.28631,0.18263,0.8959,0.000181703,0.000181703,0.000181703
47,1045.3,0.1816,0.13427,0.80107,0.99715,0.99986,0.99488,0.95459,0.29459,0.18685,0.90941,0.000148696,0.000148696,0.000148696
48,1066,0.18015,0.12934,0.79222,0.99692,0.99955,0.99482,0.95904,0.28678,0.17442,0.90295,0.00011569,0.00011569,0.00011569
49,1086.67,0.17691,0.1257,0.79469,0.99652,0.99958,0.99476,0.9585,0.2848,0.18164,0.90349,8.26832e-05,8.26832e-05,8.26832e-05
50,1107.42,0.17667,0.12349,0.79431,0.99687,1,0.99477,0.95874,0.28102,0.16884,0.89351,4.96766e-05,4.96766e-05,4.96766e-05
